bf7dabd009a2d6773faa96c05e708533a1c1a3b1,/,/.1,    [maven-release-plugin] rollback the release of mahout-14.1,/.2,/.3,100
4bfa8ebab936c8f524394bda3fcb738a7a1f5858,/,/,    Minor patch to DirichletCluster to improve cluster dump readability. All tests run,/,/,100
f5ac4584c8600b8c02bf6d632ea9471436137816,MAHOUT-829,Bug,bin/mahout doesn&apos;t match the way the packaged forms of Mahout are arranged,,Major,100
31f5a5f46c56ff29796302014b71ae2f11c4ad71,MAHOUT-828,Bug,bin/mahout should only print classpath on request  not all the time,,Major,100
08734219ddb27516e4cefcf79f213d66e86dd046,MAHOUT-846,Improvement,Improve Scalability of Gaussian Cluster For Wide Vectors,,Major,100
45a3cc11f74c55367151878f702cda504d9794e1,MAHOUT-846,Improvement,Improve Scalability of Gaussian Cluster For Wide Vectors,,Major,99.83600353
4199e60a704c5f3b615ca3e04a02ae57f9242384,/,/,    Modifying script to include FuzzyK and Dirichlet options,/,/,100
8b71fc0e7b98e5f885ef1d9b7b403b3caa586210,MAHOUT-766,Bug, fuzzy kmeans - all cluster with the same top terms,Examples,Major,100
189ac5985d1e01e6c24fdab1bd4dd607003ccbd1,/,/,    Look for old and new map worker heap size arg,/,/,100
f56404ad6131bd06e10b57064a1795bedce39ee0,MAHOUT-844,Bug,RowSimilarityJob in Item Similarity workflow does not pickup default similarity measure,Collaborative Filtering,Major,100
763c94cac94ada5120cee0cd76fae21ebbff0a14,MAHOUT-842,Bug,Inconsistent and conflicting use of &apos;-i&apos; flag,,Major,97.28573339
4194a28a7fd44438f0277c55deff67509bb9fcc4,/,/,    Style changes (dead code  license  moving vars  privatizing  finalizing  more),/,/,92.38500193
5e191d93a23eb403d7bdee731d51be352957a6d9,MAHOUT-701,Bug,ClusterDumper writes to System.out or local filesystem only (I would like to write to s3 when running on Elastic MapReduce),Integration,Minor,100
3b9f63579a691838d8e8eec7af33f6f255f4dbdf,MAHOUT-798,New Feature,Add Examples for the ASF Mail Archive,,Minor,100
ac83cf3753a1948364de2d1639aa8aeb2c5c76dc,MAHOUT-835,Improvement,Don&apos;t compute out of bag error for Decision Forests,Classification,Major,97.81387396
c70f4c1990c94bc42c4630f4bcb91dec68912d2c,MAHOUT-798,New Feature,Add Examples for the ASF Mail Archive,,Minor,100
5c5a93d7795a802f6baf7ac2793a6734ed79e640,/,/,    git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1181043 13f79535-47bb-0310-9956-ffa450edef68,/,/,100
8193b05cccacabbcbd2a90fa5730ac7086261a2e,MAHOUT-798,New Feature,Add Examples for the ASF Mail Archive,,Minor,100
8ca83b1fd2fb101f21e5af7d471ba334420e84cd,MAHOUT-835,Improvement,Don&apos;t compute out of bag error for Decision Forests,Classification,Major,100
819cc97c0b37cb4855a6f40b9a9fedbe8b4375b4,/,/,    Fixed a small bug in DecisionForest Bagging.build(),/,/,100
29a7f38810270fa45a17bdf2418c896c1594d43c,MAHOUT-798,New Feature,Add Examples for the ASF Mail Archive,,Minor,91.1387632
ea9726767b108495f49448bdd6be05297f10fce5,/,/,    fix bin/mahout,/,/,100
7809d0489a2b342f718ef62317f04ae03c1e8399,/,/,    merge,/,/,100
07513b859baff21f3ff5a4ad309e4bdaa8fe25c8,/,/,    merge,/,/,100
f76674786c4b7a31bfa5e8743a15056220c919c5,MAHOUT-828,Bug,bin/mahout should only print classpath on request  not all the time,,Major,100
e3f0b7ddf09cdd53d5dc4fdc5785cf852dc52cb5,/,/,    Only display classpath on request.,/,/,100
aa4cabef42a30a3e8965e7519dde93fc977256a6,MAHOUT-829,Bug,bin/mahout doesn&apos;t match the way the packaged forms of Mahout are arranged,,Major,100
94f64e6128ae3ba6bf3a76987b43e48e738141f7,MAHOUT-812,Improvement,Allow ConfusionMatrix to be Writable (via MatrixWritable),,Minor,99.800025
437d9189078a12efee99d52e51b5018e1786c7ca,MAHOUT-824,Improvement,FastByIDRunningAverage: Optimize SlopeOneRecommender by optimizing MemoryDiffStorage,,Trivial,99.82403218
790e703706c7f0e9776bf40c76b1810fd565d669,MAHOUT-823,Improvement,RandomAccessSparseVector.dot with another non-sequential vector can be extremely non-symmetric in its performance,Math,Major,97.64581869
971a56d1d6ea40cbc1505594baeb0685c63cb659,/,/,    Fun small thing I learned: Java has a special faster/more accurate method for ln(1+x),/,/,100
b0ccf74e0596e678c5d13cb065b3169d206edb36,MAHOUT-778,Improvement,Mark folder name of final clustering iteration with pattern such as &apos;cluster-n-last&apos;,Clustering,Minor,99.97818499
ff23ffd05bc364ca91e84a9390a53673775c8299,MAHOUT-695,Improvement,Have LDADriver determine numWords from input vectors,Clustering,Minor,100
4cad7a0d9da8f4626a15f895db1e2e27ef68e2dd,/,/,    refined size constraints for pruning of similarity candidate pairs,/,/,100
7c0da9029832e3e1f2e5313cdd7e42cbff541e04,MAHOUT-799,Bug,Cannot run SequenceFilesFromCsvFilter  ever,Examples,Major,99.97818499
bd654ca4fa9311d3a4b9db83642cbb11318c7c1e,MAHOUT-818,Improvement,Canopy Emits Too Many Trivial Clusters,Clustering,Major,100
f4009bfed0f76c9674bccfa06bdff8cd65a41c36,MAHOUT-820,Bug,Dependency on sjl4j-jcl should not have compile scope,build,Minor,100
c06c89ae80b6279ffe78156ddc650e329bcb6441,MAHOUT-819,Bug,NullPointerException in matrix vector multiplication in TimesSquaredJob,Math,Major,100
b8a553b5a1e7e58dc27a47d4860b7f8106a566d7,/,/,    Enabling -p 0 in SSVD solver,/,/,100
db304a20982e8665a365226b7e007867444cab6d,MAHOUT-800,Bug,bin/mahout attempts cluster mode  if HADOOP_CONF_DIR is set plausibly (and hence appended to classpath)  even with MAHOUT_LOCAL set and no HADOOP_HOME,Integration,Minor,100
a8be9be983ec747145ca34aa094dd4594c8ab6b7,MAHOUT-814,Bug,SSVD local tests should use their own tmp space to avoid collisions,,Minor,100
7be37c082b016c9477955e14462ac4c335f50d2b,MAHOUT-816,Bug,Power iterations -q=2 directory mess-up,,Major,100
765834c377d7283cc4243dc91d682dc2aab98040,MAHOUT-524,Bug,DisplaySpectralKMeans example fails,Clustering,Major,100
1dd5ff1cc735f41369df6208dd55fe38670f4b1f,/,/,    Fix to enable console output for LDA again,/,/,100
6d94195a79b36e1ec0968a28a93c6c0e3462f13f,/,/,    Cap io.sort.mb at 1024MB,/,/,100
307a198b9cf7262d06fda40045980a7155a69ca7,/,/,    Bug in getDiffs SQL,/,/,100
7773abc1f63d878327ffcfb306081eb051e1f647,MAHOUT-811,Bug,Mahout examples try to write to examples/bin/work  which may not be writeable by current user,Examples,Major,100
0d4e2bc1901f7ee67254dc562695ff8a6e2e3b87,MAHOUT-811,Bug,Mahout examples try to write to examples/bin/work  which may not be writeable by current user,Examples,Major,100
149941141dcc05cd92c154139ad04c2d4529bc2a,/,/,    Style stuff,/,/,99.96728106
5a76e5354e70ee63b7b3b92862155ced2ae7030c,/,/,    Fix bug in transposed vector view -- mixed up rows / cols?,/,/,100
e498621f5a46872ffd60bf757b96a616e73ffffc,MAHOUT-811,Bug,Mahout examples try to write to examples/bin/work  which may not be writeable by current user,Examples,Major,100
434b9936259ff00ac6772cbd0970e7dd1e24e24f,MAHOUT-809,Bug,Bad bug in ChunkedWriter,Clustering,Major,100
4a8d35ee89f9ead3854fd2c79af7b299b57cf2d4,MAHOUT-807,Bug,Wrong prefixes in PrefixAdditionFilter,Clustering,Minor,100
adab9e7a3f8267410330c1e9f43d6606fdcb8c07,MAHOUT-808,Bug,logical error with term counting in org.apache.mahout.vectorizer.DictionaryVectorizer,,Critical,99.97818023
c3496d1b4a5a3012d546e73079a07a137788a5c6,MAHOUT-773,New Feature,Implement Random Walk with Restarts,,Major,94.49509916
250edf36cd6bc9c3cb3e6332b42ae451a9251f48,/,/,    Update to Hadoop 0.20.204.0,/,/,100
b58213b267ed7efaf9c148df68cf953d423a973a,MAHOUT-805,Bug,Mahout script sets HADOOP_CONF_DIR to $HADOOP_HOME/src/conf instead of $HADOOP_HOME/conf ,Examples,Trivial,100
7fa228fcaa75178c75c819436abd6e4c1dd55a1a,MAHOUT-806,Bug,Seq2Sparse not runnable with ToolRunner due to private Constructor,Clustering,Trivial,100
89720ce9c41fa68367826b482832cec7570579bc,MAHOUT-801,Bug,MongoDBDataModel  getID() throws a class cast exception,Integration,Major,100
798b6a5cc23fa33ac166b8993361e674b3620124,MAHOUT-767,Improvement,Improve RowSimilarityJob performance,Collaborative Filtering,Major,100
3a38fb9d8c58bb5be7e2a9899788085812441b8e,MAHOUT-802,Bug,Start Phase doesn&apos;t properly work in RecommenderJob,,Minor,100
b70621d756f234598f69deb9bef1c029ad770938,MAHOUT-767,Improvement,Improve RowSimilarityJob performance,Collaborative Filtering,Major,99.89276778
4e64e04a1c742f9499710e5877218b79cb5194ba,MAHOUT-767,Improvement,Improve RowSimilarityJob performance,Collaborative Filtering,Major,100
845cbcdd860ee1aa8817259b9b6a5415a5196275,MAHOUT-767,Improvement,Improve RowSimilarityJob performance,Collaborative Filtering,Major,90.95464135
020e3bede9efc69833fb01402bc97870420bf85a,/,/,    provide more info about the file that failed,/,/,100
80cfd1c4a99eaa250d52655daed9dd856f139e1e,MAHOUT-802,Bug,Start Phase doesn&apos;t properly work in RecommenderJob,,Minor,99.98522022
ffc7fabb57ecb08220e53ceaafc6ac8b4d665860,MAHOUT-796,Improvement,Modified power iterations in existing SSVD code,Math,Major,97.71232877
33414e645ee7135176fd2dd66af19b90f0df8716,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,99.97446374
b35c86bf5ee4b773e7cfb5a57de449fa4a828660,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,100
95f836bfb22663dee1ee109512fb202b7932ecbd,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,99.97445069
15a7014e889513e9c4e6470a227b97dfc90559d5,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,92.3318503
528ffcd080419a6fd5edcaa49490bb5c2260a1aa,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,91.47077714
5212d25bd0b371bd2fab261d8bcf722b3eb0b50e,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,100
9bdd41d9bdc60ad1f6d48671b1a341c33f02b8a7,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,100
1593176db998dc5c62017c61c4d5c8f86de24cd3,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,100
21779d890a7c11002493849f62760e73287b5c9e,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,96.66962138
b7b518c5a85841b8019de3cd0b99804abfd6508b,MAHOUT-790,Improvement,Redundancy in Matrix API  view or get?,,Major,100
12659e1be565572466d20780a0f91c6b791cc7ea,/,/,    Made SequenceFile directory Iterables Closeable,/,/,95.13039179
0b12c1c7c783aa74c37cc568686d3a126a3fb479,/,/,    Fix for last commit  remove reference to now defunct grouplens target,/,/,100
05abdd6a1e0bd90ed1c13d055ac228dfc8a59969,/,/,    Remove remnants of support for auto-building a .war file for a recommender. Fix the Grouplens demo though  which still works and is simple.,/,/,99.80004705
c864d1f3ddce6ed42bc0b6871398462b77e9d58b,MAHOUT-795,Bug,Change prep_asf_mail_archives to not download archives,,Minor,100
318a0e8861b658726e4a4dba114a84e7a26a41c6,MAHOUT-777,Improvement,Improve TransposeJob to use a Combiner,Math,Major,100
3a16b20f8ea42778d4203e789329c178f51432a6,MAHOUT-793,Bug,Move MurmurHash to math,,Major,99.88240828
cc8070905f4a9556fdd54cb7e9cf9ecc2c898d95,MAHOUT-678,Bug,NullPointerException while using MixedGradient with SGD algorithm,Classification,Major,100
48612cb8a4081a4c70e78fb84a255a59041f021e,MAHOUT-679,Bug,ClusterDumper closes System.out,,Major,100
5f76b2ae7567970adac579e34168cb18561aa847,MAHOUT-765,Improvement,Upgrade Lucene to latest release or wait for LUCENE-3151,Integration,Major,100
ec1110272a81664a92cdd3d7916551a2565e3b43,MAHOUT-788,Bug,ClusterDumper is never flushing output stream,Integration,Trivial,100
e10506d9cba0e4676a901836f0931ee0c7846c8e,MAHOUT-786,Bug,SSVD+CDH3u0: Upper Triangular matrix overrun reported by front end,,Major,100
df391cadef65a655268873822bb32fdb8be93951,/,/,    Oops  clear all caches on a refresh(),/,/,100
3088f5893b228dbbcccf0a8bfad7f2d06c6153c6,/,/,    For now  disable the very-long-running Lanczos solver test,/,/,100
bbe149d4a79b85222f4a88cabb487dd99e0affb2,MAHOUT-335,Improvement,Mahout Logo tweak,Documentation,Minor,100
ac6bab2209fd5cd203a29dd8be19c1097305e841,/,/,    Default category option,/,/,100
7cd73f5662f19c4b2f007d6c6ebe51d51d97158b,MAHOUT-780,Bug,job jars fail on OS X due to case-insensitive name conflict on &apos;license&apos;,build,Major,100
a36831c085d42aedc28553106fa52082fe0adf32,MAHOUT-727,Bug,Does bin/mahout work for binary distro?,build,Major,100
62fdbb9e6323c4688fdbcc240a26beaa7c7d9736,/,/,    Update to latest Hector,/,/,100
3894b57af0239b00c82284d9d268acefa81c0461,MAHOUT-774,Bug,Seq2Sparse overwrites output even without --overwrite option,Clustering,Trivial,100
ce3ac7947f5425437f449ee57205c124391cbded,MAHOUT-770,Improvement,Add CassandraDataModel,Collaborative Filtering,Minor,99.97647612
3e720bc9cbafc163018f92695c374ca004cc13f7,MAHOUT-727,Bug,Does bin/mahout work for binary distro?,build,Major,100
7da117daf6873ce275cf9b6bba58e45ecc33733b,MAHOUT-757,Improvement,RowIdJob does not use Mahout&apos;s standard CLI parameters,,Minor,100
032d3ac2a35c77b5eb29e76a3cbbde6d85cc1707,MAHOUT-749,Improvement,MeanShift Cannot Use Multiple Reducers,Clustering,Major,100
42fab8a4b13e8bbc3c675741d846eebd44900149,/,/,    Fix toString() for empty vector,/,/,100
b59e46855e589f31a5a6e831a90beeed34e03c89,MAHOUT-763,New Feature,Map-Side Distance Comparison,,Minor,95.74413537
68f00b01edd76acb20a8bb0fbb1e43070c1bfab4,MAHOUT-764,Improvement,Rationalize DataModel.getNumUsersWithPreferenceFor() API,Collaborative Filtering,Minor,100
d54c89bbfba59792741d052b7ea94cd2e93ae1d8,/,/,    Knock down a few small CPU hotspots. Parse files in FileDataModel with Splitter. Optimize and even increase accuracy of entropy-like calculation for log-likelihood calc to avoid 5 unnecessary array allocations,/,/,100
e55ec3c0157b794e9d9058b974db50b19c8843e0,MAHOUT-763,New Feature,Map-Side Distance Comparison,,Minor,95.97133973
efa490c12b86034a26c9534dd6c9459550da2e5e,MAHOUT-763,New Feature,Map-Side Distance Comparison,,Minor,99.83070712
136942055bacc2a3d1db40f8654ec96391937080,/,/,    add ability to restrict the number of KV pairs to dump  implement toString on NamedVector,/,/,100
d10f7096b9decc15cad55f4d7fd46b4feb7bb88c,MAHOUT-763,New Feature,Map-Side Distance Comparison,,Minor,100
63ccd5ab86f1b53b0ac780c678c7567a1471d95e,/,/,    add ability to restrict the number of KV pairs to dump,/,/,100
f580dbfeaab498faad78ac0314089d511caf9b28,MAHOUT-761,Improvement,Emitting cluster points should have the option of emitting the distance and potentially other related metrics,,Minor,99.97390397
7c72dc4fe3d80a30d6daa9dc8b20973a176580b4,MAHOUT-761,Improvement,Emitting cluster points should have the option of emitting the distance and potentially other related metrics,,Minor,100
ccafd1a85c81a7fda05582f7149fda5d67c653ba,MAHOUT-762,Bug,VectorDumper fails to parse --help option,Clustering,Trivial,100
856f9dfc4804fde5aaccd125e82cd3bb596a3380,MAHOUT-756,Bug,VectorList (Matrix implementation) does not maintain cardinality getters correctly,Math,Minor,94.91830518
69e3a649a0580f0c02536fdb9a6a79a82821475f,MAHOUT-742,New Feature,Pagerank implementation in Map/Reduce,,Major,93.15717122
23722bcc7103b2253c1216aed934fa78271d3c64,MAHOUT-696,Improvement,Command line program for AdaptiveLogiscticRegression,Classification,Major,100
a515335bbe063f612c9c09b1e0360cc5848ad396,MAHOUT-696,Improvement,Command line program for AdaptiveLogiscticRegression,Classification,Major,99.26401503
183fa8faea7b4011ab93025a2696aa1a380f1bf5,MAHOUT-755,Bug,RecommenderServlet response content types for XML and JSON,Integration,Minor,100
b722041e31c83db3935256bec94ed4c8120e7f1a,MAHOUT-747,New Feature,Entropy implementation in Map/Reduce,Math,Major,92.80418666
b04eb0ed363ea438b498325bf0799f3fcc21dcd7,/,/,    More change from TermAttribute to CharTermAttribute,/,/,100
82fb4016fa0c002a8753dc6f72b010da7122939d,/,/,    Harmonize some splitter / patterns to split on space / tab  in Bayes,/,/,100
e4dfc93f53c1fa923803e0dac96274f0351bcd6d,/,/,    Style  warnings  remove deprecated call,/,/,99.89038093
e43db6158f5cb97b2c67081144cece74153ab79f,/,/,    small cleanup of tmp directory management in the graph jobs,/,/,100
91ff58708329ef6112e218458a7a36746fa91cdf,MAHOUT-754,Bug,add option abbreviation error in RecommenderJob.java,Collaborative Filtering,Minor,100
a5ec598b63138a5243e4a5895b53614d12de3400,/,/,    cleanup: moved LocalClusteringCoefficientJob to its correct location,/,/,99.91772933
e3fb0c4f3162fda964b6ad8658fb09702bc279d2,MAHOUT-746,Improvement,Refactoring of the parallel Naive Bayes implementation in org.apache.mahout.classifier.naivebayes,Classification,Major,95.70515678
e4cf2c733d38e11277c933701e7cb496e419cb14,/,/,    Add no-arg constructor to make it readable as a Writable,/,/,100
c3dfffa3f5b9d7cc060289aeaf4e980d5e1d6e42,MAHOUT-745,Bug,HADOOP_CONF_DIR is not passed to the hadoop script correctly ,Integration,Minor,100
5626e10584e3c29614aea84985f2d07daf9ce899,/,/,    Big speedup to finding intersection of users for an item. Huge for LogLikelihoodSimilarity,/,/,100
d0dbdfb7bb33326e6157cc69c0292a40dee1d10a,MAHOUT-734,New Feature,Command-line utils for HMM,Classification,Minor,98.60073144
a8689591e32c8c27d74f3b0caad34e42eea1af70,MAHOUT-744,Improvement,SparseMatrix should iterate over rows sparsely,Math,Major,100
3d44c1ee288700b0a5ffd8aaf2f734cf4315de99,/,/,    Style,/,/,98.57142857
b185cd5b34e9bddf5f7deac7c6af2032a1b37eb4,MAHOUT-743,Improvement,Allow use of random seeds during unit tests,,Major,100
cb143232cecdeb309609edca7d073da8855bf0c2,MAHOUT-740,New Feature,add SQL92JDBCItemSimilarity,Collaborative Filtering,Minor,99.87183139
d4d72203893ecada27dce2594b290f00462ca3cf,/,/,    removing SumReducer in favor of hadoop's IntSumReducer,/,/,99.92872416
9101588c917614dc5ff9c589a7bb935042236d0b,MAHOUT-708,Task,Update to Hadoop 0.20.203.0,Collaborative Filtering,Major,99.95725887
a2c5df682f143a82fb726c1a556cfca35f0b1b47,MAHOUT-741,New Feature,MapReduce job to compute the local clustering coefficient in an undirected graph,,Major,99.87175834
ce3ca5ec278fc55b79491e3e3805957707e16b5d,MAHOUT-632,Bug, PFPGrowth : Exceeded max jobconf size,,Major,100
f9af45c30cbdac92f95e62b06d53334beef1b4e2,MAHOUT-738,Bug,Collocation driver has long being statically cast to an int,Math,Minor,100
b4f8b6b0a85ce825ba29a83539dbfc1f5b761d43,MAHOUT-739,New Feature,MapReduce job to compute the degree distribution of an undirected graph,,Major,99.90012841
b79bc621ce888770c67e6e1facb8880976e2c5ec,/,/,    removed unused import,/,/,100
fe9baebb217b04ca5764d5dc0eb927240c25f8e8,MAHOUT-736,Improvement,Save one pass through the data in ItemSimilarityJob and RecommenderJob by intelligently using counters,Collaborative Filtering,Major,99.88587732
a8fb97ebd61ff4a67fa32e063e0779bdc2d46396,MAHOUT-736,Improvement,Save one pass through the data in ItemSimilarityJob and RecommenderJob by intelligently using counters,Collaborative Filtering,Major,99.92876478
a8df4a23aa6eaefea26d72a822b4710da991ea94,MAHOUT-710,New Feature,Implementing K-Trusses,,Major,99.4416607
b51662be15e5fbce55e4c323c54fc064c0a65a50,MAHOUT-680,Improvement,Running the Hadoop script through bin/mahout to set up classpath,,Minor,100
70fb5a121258d375005b5c3c3d96786c363f708a,/,/,    Small improvement and typo fix from book,/,/,100
507af7a6975bb795b7e3d60f67a7e75e4e247352,MAHOUT-731,New Feature,Add SQL92JDBCDataModel,Collaborative Filtering,Major,99.45683248
95743219fd99d1bed8241b9206293af6fa8fe7b2,/,/,    Avoid int overflow  per user report on mailling list,/,/,100
d497b6871e219622bff3a6d5b503b6d203e1861d,/,/,    better tmp path handling in DistributedRowMatrix test,/,/,100
38616e010567870d39b9fd5ef7211ef348fdb29b,/,/,    minor refactoring,/,/,100
fd730ff6025009ed25a50dc74f7bae2283ce5fd0,MAHOUT-729,Improvement,Refactoring: Use Maps.newHashMap() and Lists.newArrayList() from Guava globally,,Major,100
346c98c319c0fd978f8a0959d85452848e0e0bda,MAHOUT-729,Improvement,Refactoring: Use Maps.newHashMap() and Lists.newArrayList() from Guava globally,,Major,96.94512813
74f849b10c4d76281f31741a9cef48ceddcde123,MAHOUT-729,Improvement,Refactoring: Use Maps.newHashMap() and Lists.newArrayList() from Guava globally,,Major,99.04115651
6634dc9a3f6e9962457d4aa7843689d7ab218bc7,MAHOUT-690,Improvement,LanczosSolver tests take forever.  No fun.,,Major,100
5681bb0f11e29897635456c43603605169010ecf,MAHOUT-724,Improvement,Merge eclipse module into buildtools module,build,Minor,100
3f3cc8a2fff90017c16a26209556238b73cfeb0b,/,/,    Use UnsupportedOperationException instead of NotImplementedException. Use Junit expected exception mechanism where possible,/,/,100
055f4abec06d90e7fcc1c707768480a6902db877,/,/,    Update to latest version of dependencies; further streamlining of dependencies,/,/,100
194986dc255b7486444a15867be9c736945b0dd8,/,/,    Remove this unused file which used deprecated APIs anyway,/,/,99.97053624
4ac06616432df2d08ba924d278c6c739dc3437c2,/,/,    While here  class could be streamlined and use charsets explicitly,/,/,100
793a170399de40ec7da6bffa15e8aeb9368fbead,MAHOUT-723,Bug,Incorrect handling of NUM_CLUSTERS_OPTION in FuzzyKMeansDriver class,Clustering,Major,100
e4e7947ccb3b5260732ce044b7d0334b7547bef3,/,/,    Update our license files to be more accurate and err on the side of being overly complete,/,/,100
0de31cb5d92f79abdf1f82b4b0a0847b5f8e757f,MAHOUT-597,Improvement,Kernels in Mean Shift,Clustering,Minor,99.86733491
b4c54009ee19014149b18941b4341297ccdab562,MAHOUT-703,New Feature,Implement Gradient machine,Classification,Minor,99.92617747
1f672cb7befb8f6bf553fde8c87c7e6238c2ddd7,MAHOUT-702,New Feature,Implement Online Passive Aggressive learner,Classification,Minor,97.74636058
d3ccbe045f29d260ad27bf364047b59b939b1805,MAHOUT-706,Improvement,reuse lucene tokenstreams,,Minor,100
9d93d27e94fe0a4753a35d27c9acd1429c1f45f8,MAHOUT-705,Improvement,MongoDB DataModel support,Integration,Minor,100
4f85c156b15fa44ed1e7d3b62e0b5e0ac25058a2,/,/,"    Sort all of ""starter""  not 0..99",/,/,100
96117d39eed51f10ee1300917f80abc32908d373,/,/,    Style items,/,/,100
4ef41c7748e23e3dfc3c90d52092b92dcb088653,/,/,    Consistently select Lucene 3.1 behavior. Make BloomTokenFilter final since Lucene requires it,/,/,99.81353223
623be86e5837ae0f5f9f84d9409eda4550c2308d,MAHOUT-415,New Feature,Lucene filter for Collocations,,Major,99.94660972
f5e773225fffa34ee6f1040c283fd81ef54b557e,MAHOUT-700,Bug,When running &apos;seqdirectory&apos; on Amazon Elastic MapReduce  FileSystem.get() fails due to use of FileSystem.get(conf) instead of FileSystem.get(uri  conf),Integration,Minor,100
e7b1934536bb9dc014a744406a7122e088f2a435,MAHOUT-722,Improvement,Ignore the line when input text file contains irregular entry,,Major,100
d608a88d95b4a7bfd5f32a24f0c0a5d5cf6f25cf,MAHOUT-718,Improvement,Small refactoring to broaden the use of Google Guava,,Major,99.95992519
5c9f8fb6e5c8330540c0c424d7fe122daa608c79,MAHOUT-714,Bug,CollocDriver not runnable with ToolRunner due to private Constructor,Clustering,Minor,100
c3fe242df3a9bd14a12014671cac30aad7c39dfe,MAHOUT-721,Improvement,Override org.apache.mahout.math.VectorWritable#toString(),Math,Major,100
e2620d31bab2ef08518d0fa0963de6ee87f6506e,MAHOUT-705,Improvement,MongoDB DataModel support,Integration,Minor,99.97324773
466f8fe8672a32afd5174d29fef56e3c66f22dc1,MAHOUT-721,Improvement,Override org.apache.mahout.math.VectorWritable#toString(),Math,Major,100
50fd693770212294b1c14eb9ec10324c7d99a303,MAHOUT-699,Improvement,Rename taste-webapp module to integration; move integration code there from examples,Collaborative Filtering,Major,93.39584729
304d6b3456cb983c441624f430186f47e1da5062,/,/,    And we do not seem to depend on jets3t anymore either  in fact it is excluded from the Hadoop dependency  so remove it,/,/,100
0793ce4513a5f3f8b64da9d4d3ed6355edec46d5,MAHOUT-718,Improvement,Small refactoring to broaden the use of Google Guava,,Major,100
6d38de26f5ac36fb07c2c3640d722f03620e23c5,/,/,    Delete decision forest .mapred. implementation that should have gone a while ago,/,/,99.87982374
fad58fee36a45d473c6f919c9476f9f17e9c471c,MAHOUT-671,Improvement,Refactor org.apache.mahout.utils.vectors.lucene.Driver into a POJO,Integration,Minor,100
96024a77ce7b2d271e4c84e185912189ec53bd4e,MAHOUT-718,Improvement,Small refactoring to broaden the use of Google Guava,,Major,97.76430976
740db0320ad8fc1af0f3a79953aa74f175bd6fd7,/,/,    Revert move to 0.20.203.0. One subtle problem that's hard to track down quickly in distributed solver test and a few others,/,/,100
efa6a1770ec807050c269c580bb08a6a7a5b481d,/,/,    Hadoop 0.20.203.0 fix part 1  which adds the missing Hadoop dependency. Some other small issue is still outstanding in one test,/,/,100
96d93d4325208fa4fe253d294e52e983dd798beb,MAHOUT-708,Task,Update to Hadoop 0.20.203.0,Collaborative Filtering,Major,100
e37620bc847b7942384016749d43077c6a250caa,/,/,    Add a DOAP file  per board and branding request,/,/,100
a26d3b136f0c8b24904f062bfbc1d2b14448eac1,MAHOUT-687,Improvement,Random generator objects- slight refactor,,Minor,100
ac28cf4841459c785e4beee061cc350ce97c9838,MAHOUT-546,Bug,Bug creating vector from Solr index with TrieFields,Integration,Minor,100
5d64fbce6cd194a90e26ca35f90f61c88e75135b,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
1292145799e70890d4898353e4f5279d0484c5b7,/,/,    [maven-release-plugin] prepare release mahout-0.5,/,/,100
bebbd10e4276bd01256b75bbac262d5305264b2a,/,/,    [maven-release-plugin] rollback the release of mahout-0.5,/,/,100
93b66b11b89965957970fce64e2d6cb12dbbc966,/,/,    [maven-release-plugin] prepare release mahout-0.5,/,/,100
a500c977d047d0955bf5dd830f558241c918e3c2,/,/,    Rollback 0.5 again,/,/,100
55439df8c2b595c9cbe3f452d330dcd77e982ea4,/,/,    Attempt to clean up license locations and fix their inclusion in bin artifacts,/,/,100
c02e98f2eeff25bce854133dbbe9de8579bbc634,/,/,    Changing display examples to public so they can be run via CLI,/,/,100
175b269dc6bd5243f3d6529132fbcc24af584da0,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
b1f46d50240b2601e401939404bdbc7197572006,/,/,    [maven-release-plugin] prepare release mahout-0.5,/,/,100
691ed8e5eda676ec39dcb3ba12a956f50245ba65,/,/,    Removing aborted 0.5 release,/,/,100
fc0ecc2dfc137f0aa6c000064144ff98f447db25,MAHOUT-694,Bug,IndexOutOfBoundException using build-reuters.sh,Clustering,Major,100
fb171d41f9e36856285a0e8bde7c683a2c899a4f,MAHOUT-694,Bug,IndexOutOfBoundException using build-reuters.sh,Clustering,Major,100
cef6f88628be1d93ac1cc307464d8329204710c9,/,/,    add target ignore,/,/,100
fa42f721cdc0b0a5115ab38256378729b5760317,/,/,    add target ignore,/,/,100
4510a3ce147f6947231ac19f384fe554a8a8f52b,/,/,    add some ignores,/,/,100
